author,content
niltheoverkill,ruthie*
peachyqiss,HAHAHA
peachyqiss,i was really stressing about this but you made it so much better
peachyqiss,seriously thank you so much
niltheoverkill,"Don’t worry, I got your back"
peachyqiss,if you need anything let me know
niltheoverkill,Likewise
niltheoverkill,"Let me know how it goes, but I assume I’ll be getting information from both sides 🤭"
peachyqiss,"i’ll let you know how the thing with reyna goes, i’ll probably text her in like 3/4 hours because that’s when i get out of class"
peachyqiss,yeah ofc ofc
niltheoverkill,yeaah ofc fcus on your class right now this is secondary
niltheoverkill,I texted her no takebacksies :fingerWave: 15 mins ago and she hasnt responded HAHAHAHAZHHS
peachyqiss,NO WAY
niltheoverkill,make that 1.5 hrs rn
peachyqiss,i’m in between classes right now but i think i’ll just text her the main thing and stop responding when i go to class bc i don’t want her to think im avoiding her bc im texting in the servers
niltheoverkill,good call
peachyqiss,"Hey, I’m in between classes right now but I have been thinking and I wanted to let you know that I am not giving up the ownership position. I will be more than happy to give you co-owner like we previously discussed and we can go from there. You will be able to freely moderate and develop SERENA like you mentioned and we can start implementing the monetization policy together. You can still take credit for the features you develop like you did in your LinkedIn with SERENA. I know this place was built by you, but I was there since day 1 too and I don’t think it’s a good idea to go ahead with this, at least not right now. We’ll see how things look in a month or two, but I will not consider it until you are in Italy and settled into your uni."
peachyqiss,is this good?
peachyqiss,let me know what i should change 🙏
niltheoverkill,Yepp looks good if you're comfortable sending it
peachyqiss,is there anything i should add/take away?
peachyqiss,i feel like i’m being really harsh
niltheoverkill,no there is a difference between being confident and stern and harsh
peachyqiss,"okay, sending it"
peachyqiss,thank you for being here for me nil
niltheoverkill,Go for it
niltheoverkill,Of course
niltheoverkill,Anytime
peachyqiss,okay she’s fine
niltheoverkill,i gotchu
niltheoverkill,hold on
peachyqiss,tyty
peachyqiss,"thank you sm, she sent me the instructions but not the ip bc i had access to it"
niltheoverkill,let me try to get in aswell
niltheoverkill,i think we're going to have to resort to manually inviting every member
niltheoverkill,which sucks
niltheoverkill,but if we split lets say 200 per staff
niltheoverkill,we can manage
peachyqiss,yeah i think we can do that
niltheoverkill,this is good
niltheoverkill,"it says ""failed to kick"""
niltheoverkill,does it say that for everyone
niltheoverkill,thats a list of usernames i can extract
peachyqiss,"not everyone, but i know not everyone is banned. i checked the discord ban logs"
niltheoverkill,it's formatted yknow
peachyqiss,but in the audit logs of discord we can see everyone that was kicked
peachyqiss,here i'll share my screen
niltheoverkill,hey ruthie
niltheoverkill,i couldnt access from putty
niltheoverkill,any chance you still have yours on or something?
niltheoverkill,i dont know what might be causing it
niltheoverkill,i cant run source venv/bin/activate
peachyqiss,yeah i have mine
peachyqiss,i’m at practice rn but i’ll get home asap
niltheoverkill,Have a great practice!
peachyqiss,I just got out! :D
peachyqiss,okay tell me what commands i should run in puTTY to get what we need
niltheoverkill,Me asf in bed rn
peachyqiss,HAHAHAHA
peachyqiss,i’m so sorry i know it’s so late for you
niltheoverkill,No no its ok
niltheoverkill,Actually
niltheoverkill,I dont know yet
niltheoverkill,I think I need to research
niltheoverkill,..
peachyqiss,"yeah same, i can’t think of anything off of the top of my head"
peachyqiss,"don’t worry, we can worry about it tmrw :D"
peachyqiss,when i wake up you’re awake so we can do it then
niltheoverkill,What the hell was I thinking broo im sorry I’ll let you know when I have a clear answer
peachyqiss,i’ll wake up early so i’ll have time before class
niltheoverkill,Perfect
peachyqiss,nooooo dwdwdw
peachyqiss,is there anything else for us to do?
niltheoverkill,"Hey, don’t change anything in your schedule because of this"
niltheoverkill,There is a lot but right now we both get a couple hours off
peachyqiss,i’m going to - set up ticket bot - set up channel perms - set up intro/verification channel - set up automod - check SERENA again - maybe set up lofi vcs - try to see how we can do the club thing again
peachyqiss,the club thing with SERENA was really great UGH i’m so mad
niltheoverkill,"Also, I think you know I should craft a message to send to reyna If you want to, of course"
peachyqiss,"you can, i know many people have reached out"
peachyqiss,jazzi did and she sent a long response then deleted it right after
niltheoverkill,"Hey, it’s all right. We’ll get it all going again, baby steps"
peachyqiss,"pretty sure she blocked me though, not sure"
niltheoverkill,"Don’t worry, I have ways of reaching her"
niltheoverkill,She still needs me so I’m assuming she won’t block me off
peachyqiss,i feel bad but i’m glad we were right about it being impulse
peachyqiss,because this definitely proves it
niltheoverkill,I’m just scared of a person that can ruin the lives of a lot of people with a couple clicks of a button
peachyqiss,"and i know it was her work and everything, but why would she throw it all away like that because i wanted her to move first? then tell a handful of members lies of what happened?"
peachyqiss,yeah
niltheoverkill,Rage is the powerful emotion
niltheoverkill,So is jealousy
peachyqiss,"i also hated how everyone said everything was all her, like you didn’t program so much of SERENA and hold all of the events, and i didn’t expand the server a ton"
peachyqiss,i don’t know it just rubbed me the wrong way
niltheoverkill,Our job is done the same way even if we don’t get recognition for it so I don’t mind honestly
niltheoverkill,Thats fair
niltheoverkill,"This is like saying a president saved a country though, one person represents the group of people that worked behind-the-scenes"
peachyqiss,"yeah that’s true, i’m not expecting praise or anything, but giving praise to just one person when it was a team is what is icky"
peachyqiss,that’s true
peachyqiss,nil you’re so wise when you’re tired
niltheoverkill,"Yeah, not being seen by the people you trust hurts really bad and I get that"
niltheoverkill,DUDEE AHAHHSGSHSSHH
peachyqiss,HAHAHAHAHAHA
niltheoverkill,I’m just depressed these days homie
niltheoverkill,😭
niltheoverkill,Just kidding it’s obviously loss of a lot of blood today that got to my brain
niltheoverkill,website's down
niltheoverkill,did you know?
niltheoverkill,she deleted the entire git repo of the website i think
niltheoverkill,i still have all the code to the website
peachyqiss,you’re kidding
niltheoverkill,Im afraid not
niltheoverkill,i know ur sleeping rn but im so excited
niltheoverkill,because i got the entirety of the website back
niltheoverkill,"and published it, removing reyna of course"
niltheoverkill,Girls Only - A Girls Only Student Community Join our 24/7 online girls only study space and chat with other students.
niltheoverkill,we could even get the same domain again because some of the payments are made
peachyqiss,YAY IM SO EXCITED!!! THANK YOU!!!
niltheoverkill,i got our gmail its own discord account
niltheoverkill,do we have the server logo
niltheoverkill,i want to set it as a pfp
peachyqiss,"i don’t rn but i can get it, maybe check the drive to see if it’s in there already"
niltheoverkill,gosh i keep forgetting that exists
niltheoverkill,let me check ty ty
niltheoverkill,hey i've been thinking about something
niltheoverkill,i love nisan i really do but what the fuck is she doing as co owner
niltheoverkill,same level of activity as harriet
peachyqiss,yeah i don’t really know
peachyqiss,i’ve been thinking too but she is a day 1 and she does contribute when she’s here
niltheoverkill,thats true
niltheoverkill,im not bothered to the point where im gonna nuke the server (!)
peachyqiss,LMFAO
niltheoverkill,just food for thought
niltheoverkill,yknow
peachyqiss,i’m not going to demote her right now but i will talk to her about being active
niltheoverkill,yeah that makes sense
peachyqiss,bc there was a dry spot with you but i wanted to make sure it was just an episodic thing
peachyqiss,i want to give her the same opportunity yk
niltheoverkill,mhm
niltheoverkill,let me chat with her actually we havent had a conversation in a long time
peachyqiss,okok!
peachyqiss,just check up on her tho
niltheoverkill,yep
peachyqiss,also i just wanted to say thank you for everything you’re doing right now. you’ve been the saving grace with everything right now and the server would not have made the comeback it did without you
peachyqiss,you mean so much to me and having you in my corner really means a lot
niltheoverkill,thanks for saying that ❤️ im just doing what i can
niltheoverkill,"it almost seemed like reyna was the only one on the ""tech"" side but what we forgot in my absence is that we started everything together"
peachyqiss,"nahhh you’re doing way more, i’m just really glad that i can go to sleep without worrying what will happen when im gone because you’ll be there"
niltheoverkill,"she told me that she was going to hand the server over to me if i was active so i kinda feel guilty of ""making her give it to you"" but you've been a great owner so far and probably doing a better job than i could"
niltheoverkill,and im glad i can go to sleep knowing you're awake :)
peachyqiss,i was actually really surprised when she did give it to me bc you seemed like such an obvious choice
niltheoverkill,really?
niltheoverkill,damn
peachyqiss,yeah
peachyqiss,i mean don’t get me wrong i’m glad she gave it to me
peachyqiss,but it was kind of a shock
niltheoverkill,"if my presence is so persistent even when im gone, im shocked at what ppl think of me"
niltheoverkill,me too
niltheoverkill,"if she wanted it back i wouldve said no immediately by the way, i wouldnt be as nice as you were"
peachyqiss,:chilewhat: thank you so much that means everything to me
niltheoverkill,hence: she wouldve probably went ahead and done worse
niltheoverkill,past tense + past tense MY ENGLISH IS CRUMBLING
peachyqiss,HAHAHAHA
niltheoverkill,"im more of a straightforward person, i say things mostly as they come to my mind so..."
peachyqiss,you’re doing better than me 😭
niltheoverkill,apart
niltheoverkill,a part
peachyqiss,NOOOO
peachyqiss,that will forever haunt me
niltheoverkill,the letters of apart are written apart if a part is seperate than another
peachyqiss,okay now you’re just showing off
peachyqiss,HAHAHAHAHA
niltheoverkill,:megathink:
niltheoverkill,hey miss rocket science
niltheoverkill,you can show off too
niltheoverkill,:torodance:
niltheoverkill,it's your mother tongue after all
peachyqiss,:toroblush:
peachyqiss,i’m actually doing this rn
niltheoverkill,me asf when physics
peachyqiss,REAL
peachyqiss,nil
niltheoverkill,ruthie
peachyqiss,cough
niltheoverkill,ohh this is goooooooooood
niltheoverkill,but idk if it's enough
niltheoverkill,"point... point... ""im not transphobic"" point.. point.. ""dont get me wrong"""
peachyqiss,mainly the different hormones thing really irked me
peachyqiss,i’m not affiliated with what you do with the screenshots but let me know what happens
peachyqiss,WINK
peachyqiss,WINK
peachyqiss,i don’t support this but if you do it anyway i can’t stop you
peachyqiss,WINK
peachyqiss,WINK
niltheoverkill,"im gonna try to dig up more dirt, i think i can get the entirety of our dms from discord with an email"
peachyqiss,yeah
niltheoverkill,turns out it wasnt an email
niltheoverkill,i requested all of my data
niltheoverkill,lets see what turns up
peachyqiss,i think only your messages will come back
niltheoverkill,probably
niltheoverkill,"i think in the event of me requesting to use some messages as legal evidence, they can retrieve deleted messages"
niltheoverkill,lets see what comes in the package
peachyqiss,NIL
peachyqiss,send the email linked to your nintendo account
niltheoverkill,could i ☝️ possibly ☝️ make sure that i can switch stores while im in family first
niltheoverkill,im flying home tmrw and my switch is there so i can actually make sure tomorrow night
niltheoverkill,OH send me your nintendo username so that i can add you too heheheh
peachyqiss,yes ofc ofc
peachyqiss,OKOK
niltheoverkill,thank you maam ^tips fedora^
niltheoverkill,i hate myself
peachyqiss,HAHAHAHA
niltheoverkill,ruthie
niltheoverkill,RUTHIE
niltheoverkill,please be awake oh god
niltheoverkill,or please dont be in class
peachyqiss,WHAT
peachyqiss,WHAT
peachyqiss,DAMN........
niltheoverkill,you're unmuted
niltheoverkill,i server muted you 😭
peachyqiss,OMG KMS
peachyqiss,i thought i was muted
peachyqiss,i muted myself i know i did
peachyqiss,wtfffff
niltheoverkill,i JUMPED OUT OF MY SEAT HAHAHAHA
niltheoverkill,happens to the best of us dw about it
niltheoverkill,you still arent muted btw
niltheoverkill,just server muted by me
niltheoverkill,we have a problem
niltheoverkill,are you up?
niltheoverkill,starts from there
peachyqiss,oh shit
peachyqiss,i just read it all
niltheoverkill,Your link in bio is wrong now btw
niltheoverkill,Bc the link changed
peachyqiss,right thank you
peachyqiss,totally forgot
niltheoverkill,😘
niltheoverkill,HAHJASHDJKASDHFGDKRUEHLWFSD
niltheoverkill,saw your msg
niltheoverkill,i realized you can open a ticket
niltheoverkill,and /add user
niltheoverkill,to summon someone into a ticket by force
niltheoverkill,isnt that amazing
peachyqiss,it is
peachyqiss,you can also do
peachyqiss,/ticket create
niltheoverkill,really?
niltheoverkill,i dont see that in commands
peachyqiss,it’s /new
peachyqiss,my bad
niltheoverkill,oh solid
niltheoverkill,i made these roles
niltheoverkill,we can modify them but
niltheoverkill,just a template for now
peachyqiss,PERFECT i love them
niltheoverkill,aye
niltheoverkill,AYE
niltheoverkill,I CAN SEE YOU
peachyqiss,HAHAHAHAHAHA
niltheoverkill,🫵
peachyqiss,I FORGOR
niltheoverkill,says the gay
niltheoverkill,smh
peachyqiss,WOW
peachyqiss,so thats how it is
peachyqiss,ok
niltheoverkill,RUTHIE
niltheoverkill,RUTHIEEEE
niltheoverkill,IM DYING OF LAUGHTER
niltheoverkill,DUDE
niltheoverkill,DUDE
niltheoverkill,I JOINED DESK CAM DWELLERS TODAY
niltheoverkill,AND MIN HAD HER CAMERA ON
niltheoverkill,‼️
niltheoverkill,MIN FACE REVEAL
niltheoverkill,AS SOON AS I JOINED SHE TURNED IT OFF AHHSHHWHZJAHDHJAHD
peachyqiss,HAHAHAHAHAHA
peachyqiss,WHAT
peachyqiss,THATS SO FUNNY
niltheoverkill,I know we’re not supposed to say this to women but like you look so tired dude are you OK?
peachyqiss,HAHAHAHAHAHA
peachyqiss,no
niltheoverkill,AHAHAHSHHWHH I SEE U LAUGHING
niltheoverkill,WELLL
peachyqiss,no im okay fr this is just my lock in face
peachyqiss,and my face of eternal sufferring
peachyqiss,sufffering*
peachyqiss,SUFFERING
peachyqiss,DAMN
peachyqiss,anyways get me out
peachyqiss,after my first pomodoro ends i may relocate to the lobby
niltheoverkill,Good good glad to see you somewhat functioning
peachyqiss,SOMEWHAT
peachyqiss,HELLO
niltheoverkill,"is this a bad time to say that the ""is"" is supposed to be ""are"""
niltheoverkill,grammar police in your area
peachyqiss,HAHAHAHAHA
peachyqiss,we like
peachyqiss,describe finals as a single entity
niltheoverkill,hmm
peachyqiss,but youre so right
peachyqiss,im embarassed
niltheoverkill,but isnt it multiple exams
niltheoverkill,for multiple subjects
peachyqiss,perchance
niltheoverkill,thats so dumb
niltheoverkill,YOU CHANGED IT ASJLHDASJDHA
peachyqiss,"we're like ""hey how's finals"""
peachyqiss,IDK
peachyqiss,i just wrote a 10 page essay
peachyqiss,and i have no school for a month
peachyqiss,let me be illiterate
peachyqiss,i earned it
niltheoverkill,you be free
peachyqiss,also do you wanna read what i submitted
peachyqiss,HAHAHAHA
niltheoverkill,i might not be able to read rn im also studying but send!
peachyqiss,read at your convenience 👩‍❤️‍💋‍👩
niltheoverkill,us president?? yes maam
peachyqiss,LMAO
niltheoverkill,bro this has to be like 2k words though NICE STRETCHING AJSHDJASHDSAJ
niltheoverkill,10 pages
peachyqiss,2400
peachyqiss,LISTEN IM A YAPPER IDK
peachyqiss,the guideline says 4-5 LMFAO
niltheoverkill,💀
niltheoverkill,michael's gonna cook you
peachyqiss,nawwwwwww
peachyqiss,(yeah)
niltheoverkill,KAJSHDJKASDHASJJALSHD
peachyqiss,the father of the 🦅 CONSTITUTION 🦅
niltheoverkill,discord.gg/girlsonlystudy
niltheoverkill,good afternoon bbq are you perchance not busy rn
niltheoverkill,wait nvm it’s 1 am for me i should probably sleep
peachyqiss,LMAO what’s up
niltheoverkill,I was just going to say let’s do the student hub
peachyqiss,"I was going to earlier today, but I know you said you wanted to talk about it at the meeting. Do you want to do it and then talk about its effectiveness at the meeting or do you just wanna wait to implement it till after?"
peachyqiss,sorry this is full of being all serious grammar. I’m using text to speech.
peachyqiss,Speech to text
peachyqiss,You know what I mean
niltheoverkill,I noticed and me too ha ha ha ha ha ha
peachyqiss,I’m driving LMAO
niltheoverkill,"Yeah, it can wait until the meeting that’s fine"
niltheoverkill,GO DRIVE BYE STAY SAFE
peachyqiss,IM PARKED NOW
niltheoverkill,Are you kidding me
peachyqiss,no
niltheoverkill,NAHXSHHCHHSHCJSHHC
niltheoverkill,Ur an insane one
peachyqiss,LMAO IM PARKED FYM
peachyqiss,IM SAFW
niltheoverkill,Nothing 😘
peachyqiss,SAFE*
niltheoverkill,Stay safe 🖐️
niltheoverkill,Pls we need u
peachyqiss,HAHAHA you too pook 👩‍❤️‍💋‍👩
niltheoverkill,Answer to ur question yes
peachyqiss,now SLEEP
niltheoverkill,Yes maam
peachyqiss,GOD IS GOOD
peachyqiss,this was the 75 that i requested for a regrade
niltheoverkill,Oh hell yeah
niltheoverkill,Wb the other 1
peachyqiss,WHY AR EYOU AWAKE
niltheoverkill,I fell
peachyqiss,what
peachyqiss,are you okay
niltheoverkill,Yeah but i cant sleep rn bc i need to process my fall HAHAHAHAH
peachyqiss,LMFAOO
peachyqiss,it gave you some epiphanies
niltheoverkill,And adrenaline ig
niltheoverkill,Yeah
peachyqiss,so like
peachyqiss,they said they had to open a case to investigate the AI thing
peachyqiss,but they looked at my other errors and changed my grade
peachyqiss,from a 15
peachyqiss,to a 20
niltheoverkill,Wow (!)
peachyqiss,😐
peachyqiss,do you see how happy i am
niltheoverkill,This just goes to show that grades don’t mean nothing and they’re useless with the meaning behind them
niltheoverkill,"If you said nothing about it, this would’ve stayed as is and just imagine how many students are out there with grades below 70"
niltheoverkill,Absolute garbage of a system
peachyqiss,yeah fuck canadians
peachyqiss,notice how we have no canadian staff
peachyqiss,segregation
niltheoverkill,WHAT DID CANADIANS EVER DO TO YOU
peachyqiss,THEYRE MY PROFESSORS
niltheoverkill,ROUGWDUOFWUOGFGUWRHUWDFHUWDHUF WTF
peachyqiss,FOR THIS CLASS
niltheoverkill,OH SDJKNCWDNJKDSFJHSFDJHOWHJDVO
peachyqiss,HAHAHAHAHA
peachyqiss,JOKES JOKES JOKES
peachyqiss,i like canadians
peachyqiss,except these ones
niltheoverkill,RACIST (GOOD AT RACING) !!!
peachyqiss,AMEN BROTHER
niltheoverkill,RUTHIE UR SO CUTE HAZHHAHHAHHS
peachyqiss,NOOO STOP
niltheoverkill,Ruthie they’re so good
niltheoverkill,I can cross “go to a black church” off of my “to-do before dying” list
niltheoverkill,This counts
peachyqiss,HAHAHAHA
peachyqiss,it counts for sure
peachyqiss,a black church isn’t a place
peachyqiss,it’s an experience
niltheoverkill,Yess
niltheoverkill,And like
niltheoverkill,FOR FREE???
niltheoverkill,Insane
niltheoverkill,INSANE
peachyqiss,HAHAHAHA
peachyqiss,IKKK
peachyqiss,send more vids
peachyqiss,to your hearts content
niltheoverkill,Omg will i
niltheoverkill,WILL I
niltheoverkill,WILL I EVER
peachyqiss,DUDE
peachyqiss,HAHAHAHAHAHAA
peachyqiss,HAHAHAHAHAHAAA
peachyqiss,i dmed her SHES CRYINGGG
niltheoverkill,SLFHGLJSDHGRHGUIRUKHESOIFHSDLFHDKLHKLAHF
niltheoverkill,IM SHITTING MY PANTS
peachyqiss,HAHAHAHAHAHAAAA
niltheoverkill,i think i need a role or something to show that im coowner
niltheoverkill,to get verified in that server btw
niltheoverkill,ASKDHASKJDHEWOIRUEIWRUIOGHJKLDSNLDSFEWHIOPEWHFIOEF RUTHIE DSFIGHUWOESILFRSHGUEISFLDKŞ
niltheoverkill,These ppl are ducking stupid
niltheoverkill,They’re so bad bro
niltheoverkill,I cant believe this is the last thing i did before turning on airplane mode
niltheoverkill,They would rather allow servers that have robux payments
niltheoverkill,Insanity
peachyqiss,what 😭
peachyqiss,okay i talked to them and one of them said if they joined and took a look around they’d change their mind which is fine
peachyqiss,i just told them they had to verify like everyone else
niltheoverkill,i said the EXACT same thing
niltheoverkill,caught in 4k
niltheoverkill,?
